div_start,div_end,dividend amount
1999-08-18,1999-11-16,0.325
1999-11-17,2000-02-15,0.325
2000-02-16,2000-05-16,0.325
2000-05-17,2000-08-15,0.325
2000-08-16,2000-11-14,0.325
2000-11-15,2001-02-13,0.325
2001-02-14,2001-05-15,0.325
2001-05-16,2001-08-14,0.325
2001-08-15,2001-11-13,0.35
2001-11-14,2002-02-12,0.35
2002-02-13,2002-05-14,0.35
2002-05-15,2002-08-14,0.35
2002-08-15,2002-11-13,0.35
2002-11-14,2003-02-11,0.35
2003-02-12,2003-05-14,0.35
2003-05-15,2003-08-14,0.365
2003-08-15,2003-11-13,0.365
2003-11-14,2004-02-12,0.365
2004-02-13,2004-05-14,0.365
2004-05-17,2004-08-16,0.4
2004-08-17,2004-11-15,0.4
2004-11-16,2005-02-11,0.4
2005-02-14,2005-05-16,0.45
2005-05-17,2005-08-16,0.45
2005-08-17,2005-11-15,0.45
2005-11-16,2006-02-13,0.45
2006-02-14,2006-05-16,0.52
2006-05-17,2006-08-15,0.52
2006-08-16,2006-11-14,0.52
2006-11-15,2007-02-13,0.52
2007-02-14,2007-05-15,0.58
2007-05-16,2007-08-14,0.58
2007-08-15,2007-11-13,0.58
2007-11-14,2008-02-12,0.58
2008-02-13,2008-05-14,0.65
2008-05-15,2008-08-14,0.65
2008-08-15,2008-11-13,0.65
2008-11-14,2009-02-11,0.65
2009-02-12,2009-05-14,0.65
2009-05-15,2009-08-14,0.68
2009-08-17,2009-11-13,0.68
2009-11-16,2010-02-11,0.68
2010-02-12,2010-05-14,0.72
2010-05-17,2010-08-16,0.72
2010-08-17,2010-11-15,0.72
2010-11-16,2011-02-11,0.72
2011-02-14,2011-05-16,0.78
2011-05-17,2011-08-16,0.78
2011-08-17,2011-11-15,0.81
2011-11-16,2012-02-14,0.81
2012-02-15,2012-05-15,0.9
2012-05-16,2012-08-14,0.9
2012-08-15,2012-11-13,0.9
2012-11-14,2013-02-12,0.9
2013-02-13,2013-05-14,1.0
2013-05-15,2013-08-14,1.0
2013-08-15,2013-11-13,1.0
2013-11-14,2014-02-11,1.0
2014-02-12,2014-05-14,1.07
2014-05-15,2014-08-14,1.07
2014-08-15,2014-11-13,1.07
2014-11-14,2015-02-11,1.07
2015-02-12,2015-05-14,1.07
2015-05-15,2015-08-14,1.07
2015-08-17,2015-11-13,1.07
2015-11-16,2016-02-15,1.07
2016-02-16,2016-05-16,1.07
2016-05-17,2016-08-16,1.07
2016-08-17,2016-11-15,1.08
2016-11-16,2017-02-13,1.08
2017-02-14,2017-05-16,1.08
2017-05-17,2017-08-15,1.08
2017-08-16,2017-11-15,1.08
2017-11-16,2018-02-14,1.12
2018-02-15,2018-05-16,1.12
2018-05-17,2018-08-15,1.12
2018-08-16,2018-11-14,1.12
2018-11-15,2019-02-13,1.19
2019-02-14,2019-05-15,1.19
2019-05-16,2019-08-15,1.19
2019-08-16,2019-11-14,1.19
2019-11-15,2020-02-13,1.29
2020-02-14,2020-05-15,1.29
2020-05-18,2020-08-17,1.29
2020-08-18,2020-11-16,1.29
2020-11-17,2021-02-15,1.29
